file,time
field_000000.vtk,0.0
field_000001.vtk,0.003504925824267615
field_000002.vtk,0.00700173839431255
field_000003.vtk,0.010506664218580061
field_000004.vtk,0.014003476788624644
field_000005.vtk,0.01750028935866923
field_000006.vtk,0.021005215182936653
field_000007.vtk,0.024502027752981236
field_000008.vtk,0.02800695357724866
field_000009.vtk,0.03150376614729324
field_000010.vtk,0.035000578717337825
field_000011.vtk,0.03850550454160525
field_000012.vtk,0.04200231711164983
field_000013.vtk,0.04550724293591726
field_000014.vtk,0.04900405550596184
field_000015.vtk,0.05250086807600642
field_000016.vtk,0.05600579390027385
field_000017.vtk,0.05950260647031843
field_000018.vtk,0.06300753229458586
field_000019.vtk,0.06650434486463044
field_000020.vtk,0.07
