x_m,y_m
4.628906250000000208e-03,1.392546313550046405e-02
4.626369227623067064e-03,1.392578124999999979e-02
4.589843750000000173e-03,1.393037625521671707e-02
4.550781250000000139e-03,1.393554544970662147e-02
4.511718750000000104e-03,1.394098565187535527e-02
4.472656250000000069e-03,1.394676944031314307e-02
4.433593750000000035e-03,1.395303149650369348e-02
4.394531250000000000e-03,1.395998870774557005e-02
4.370368299665052664e-03,1.396484375000000069e-02
4.355468750000000833e-03,1.396793704205031433e-02
4.316406249999999931e-03,1.397614287519915836e-02
4.277343749999999896e-03,1.398442936657740519e-02
4.238281249999999861e-03,1.399316605295984790e-02
4.199218749999999827e-03,1.400288490479077198e-02
4.195503702783646115e-03,1.400390624999999986e-02
4.160156249999999792e-03,1.401349798989298678e-02
4.121093749999999757e-03,1.402392281202515488e-02
4.082031249999999722e-03,1.403484583515455901e-02
4.055935458378432529e-03,1.404296875000000076e-02
4.042968749999999688e-03,1.404716659792639051e-02
4.003906249999999653e-03,1.405958228351056848e-02
3.964843750000000486e-03,1.407218365250682661e-02
3.937221964541046289e-03,1.408203124999999993e-02
3.925781250000000451e-03,1.408629177308239402e-02
3.886718750000000416e-03,1.410051036999910613e-02
3.847656249999999948e-03,1.411510416881345265e-02
3.833124366763551207e-03,1.412109375000000083e-02
3.808593749999999913e-03,1.413130763653357679e-02
3.769531249999999879e-03,1.414722525358518349e-02
3.740263341850970456e-03,1.416015625000000000e-02
3.730468749999999844e-03,1.416469789973708558e-02
3.691406250000000243e-03,1.418238575233618168e-02
3.656243458224048108e-03,1.419921875000000264e-02
3.652343749999999341e-03,1.420120594117199250e-02
3.613281250000000173e-03,1.422074358792919067e-02
3.579846007956589624e-03,1.423828125000000007e-02
3.574218750000000139e-03,1.424141071307537254e-02
3.535156250000000104e-03,1.426278041613874420e-02
3.510049444012045775e-03,1.427734375000000271e-02
3.496093750000000069e-03,1.428577687490278393e-02
3.457031250000000035e-03,1.430922545589280621e-02
3.445891125777365057e-03,1.431640625000000014e-02
3.417968750000000000e-03,1.433472095656742641e-02
3.387371122768946616e-03,1.435546875000000104e-02
3.378906249999999965e-03,1.436153250966076995e-02
3.339843749999999931e-03,1.438971003550362782e-02
3.333547785668361605e-03,1.439453125000000021e-02
3.300781249999999896e-03,1.442037211836813201e-02
3.284767972984689848e-03,1.443359375000000284e-02
3.261718749999999861e-03,1.445355757644074118e-02
3.240545845033737920e-03,1.447265625000000028e-02
3.222656250000000260e-03,1.448979198055945668e-02
3.200786358309693717e-03,1.451171874999999944e-02
3.183593750000000659e-03,1.453024133183384616e-02
3.165550194992646209e-03,1.455078125000000035e-02
3.144531250000000191e-03,1.457698777991366448e-02
3.134831709506354959e-03,1.458984374999999951e-02
3.109072170005659774e-03,1.462890625000000042e-02
3.105468750000000156e-03,1.463491218594832610e-02
3.087841577302603314e-03,1.466796874999999958e-02
3.071325304827283390e-03,1.470703125000000049e-02
3.066406250000000121e-03,1.472141749402760581e-02
3.058742014631133255e-03,1.474609374999999965e-02
3.051087010674295285e-03,1.478515625000000056e-02
3.047755984179723043e-03,1.482421874999999972e-02
3.048750124189484462e-03,1.486328125000000062e-02
3.054387680797555904e-03,1.490234374999999979e-02
3.065494923013721649e-03,1.494140625000000069e-02
3.066406250000000121e-03,1.494355476834395915e-02
3.081408340268165531e-03,1.498046874999999986e-02
3.102073552550626244e-03,1.501953125000000076e-02
3.105468750000000156e-03,1.502459627149885235e-02
3.128605197472797677e-03,1.505859374999999993e-02
3.144531250000000191e-03,1.507833687899784968e-02
3.161357511743650549e-03,1.509765625000000083e-02
3.183593750000000659e-03,1.512056684005242714e-02
3.200789220751619132e-03,1.513671875000000000e-02
3.222656250000000260e-03,1.515576453777298105e-02
3.248134155360702345e-03,1.517578125000000437e-02
3.261718749999999861e-03,1.518605789899948877e-02
3.300781249999999896e-03,1.521192005403668342e-02
3.305382538587551232e-03,1.521484375000000007e-02
3.339843749999999931e-03,1.523536170775834434e-02
3.374244387591684644e-03,1.525390625000000097e-02
3.378906249999999965e-03,1.525649289292573679e-02
3.417968750000000000e-03,1.527524089756493453e-02
3.457031250000000035e-03,1.529253948809833341e-02
3.458013637162439795e-03,1.529296875000000014e-02
3.496093750000000069e-03,1.530866190873518724e-02
3.535156249999999670e-03,1.532276831984160509e-02
3.560999340186985374e-03,1.533203125000000278e-02
3.574218750000000139e-03,1.533688196377623082e-02
3.613281250000000173e-03,1.534931905313907489e-02
3.652343750000000208e-03,1.536054257424219159e-02
3.689276095894948680e-03,1.537109375000000021e-02
3.691406250000000243e-03,1.537173811448119300e-02
3.730468750000000278e-03,1.538226158312962569e-02
3.769531249999999879e-03,1.539144883818458279e-02
3.808593749999999913e-03,1.540002873393694557e-02
3.847656249999999948e-03,1.540852379418238167e-02
3.855236612752577143e-03,1.541015625000000284e-02
3.886718749999999983e-03,1.541687789793266643e-02
3.925781249999999584e-03,1.542420901557010719e-02
3.964843750000000486e-03,1.543084339263823060e-02
4.003906249999999653e-03,1.543706935518504748e-02
4.042968749999999688e-03,1.544309632280745949e-02
4.082031249999999722e-03,1.544907441453432367e-02
4.083000780720228741e-03,1.544921875000000028e-02
4.121093749999999757e-03,1.545484382248213211e-02
4.160156249999999792e-03,1.545996477403605192e-02
4.199218749999999827e-03,1.546458921482835383e-02
4.238281249999999861e-03,1.546883341858352502e-02
4.277343749999999896e-03,1.547278316611532152e-02
4.316406249999999931e-03,1.547650036613431104e-02
4.355468749999999965e-03,1.548002811062289610e-02
4.394531250000000000e-03,1.548339461178940314e-02
4.433593750000000035e-03,1.548661625680425487e-02
4.454854124146068704e-03,1.548828124999999944e-02
4.472656250000000069e-03,1.548971363453779948e-02
4.511718750000000104e-03,1.549253349848204835e-02
4.550781250000000139e-03,1.549503833806521735e-02
4.589843750000000173e-03,1.549726253098232011e-02
4.628906250000000208e-03,1.549923262171883261e-02
4.667968750000000243e-03,1.550096892084813077e-02
4.707031250000000278e-03,1.550248679507843647e-02
4.746093750000000312e-03,1.550379771508137577e-02
4.785156250000000347e-03,1.550491010907720756e-02
4.824218750000000382e-03,1.550583005639078436e-02
4.863281250000000416e-03,1.550656184766209533e-02
4.902343750000001318e-03,1.550710842866978058e-02
4.941406250000000486e-03,1.550747173480677803e-02
4.980468750000000520e-03,1.550765294638079168e-02
5.019531249999999688e-03,1.550765263179270173e-02
5.058593749999999722e-03,1.550747083185716017e-02
5.097656249999999757e-03,1.550710705323811965e-02
5.136718749999999792e-03,1.550656018093981084e-02
5.175781249999999827e-03,1.550582832563711898e-02
5.214843749999999861e-03,1.550490856573481617e-02
5.253906249999999896e-03,1.550379661105165570e-02
5.292968749999999931e-03,1.550248636011258146e-02
5.332031249999999965e-03,1.550096934341529606e-02
5.371093750000000000e-03,1.549923403478293410e-02
5.410156250000000035e-03,1.549726500353724827e-02
5.449218750000000069e-03,1.549504187220772204e-02
5.488281250000000104e-03,1.549253803118412834e-02
5.527343750000000139e-03,1.548971904267628166e-02
5.545216263970370249e-03,1.548828125000000118e-02
5.566406250000000173e-03,1.548662195844942302e-02
5.605468750000000208e-03,1.548340027801691984e-02
5.644531250000000243e-03,1.548003348367395227e-02
5.683593750000000278e-03,1.547650522164149139e-02
5.722656250000000312e-03,1.547278730948445889e-02
5.761718750000000347e-03,1.546883667137436379e-02
5.800781250000000382e-03,1.546459139191505572e-02
5.839843750000000416e-03,1.545996565253870275e-02
5.878906250000001318e-03,1.545484310291447318e-02
5.916981634687147433e-03,1.544921875000000028e-02
5.917968750000000486e-03,1.544907174965820702e-02
5.957031250000000520e-03,1.544309180445652130e-02
5.996093750000001422e-03,1.543706289358725246e-02
6.035156249999999722e-03,1.543083474609747464e-02
6.074218749999999757e-03,1.542419773668221410e-02
6.113281249999999792e-03,1.541686327136599158e-02
6.144682159879137975e-03,1.541015625000000284e-02
6.152343749999999827e-03,1.540850589871500982e-02
6.191406249999999861e-03,1.540000965309838016e-02
6.230468749999999896e-03,1.539142798345336481e-02
6.269531249999999931e-03,1.538223793626026722e-02
6.308593749999999965e-03,1.537171016824625917e-02
6.310631099569094862e-03,1.537109375000000021e-02
6.347656250000000000e-03,1.536051647072473117e-02
6.386718750000000035e-03,1.534929298078118592e-02
6.425781250000000069e-03,1.533685369025825605e-02
6.438922822828272233e-03,1.533203125000000104e-02
6.464843750000000104e-03,1.532274211235483755e-02
6.503906250000000139e-03,1.530863762917482503e-02
6.541928393507590901e-03,1.529296875000000014e-02
6.542968750000000173e-03,1.529251425541735925e-02
6.582031250000000208e-03,1.527522062998083394e-02
6.621093750000000243e-03,1.525647333490798979e-02
6.625720783814377859e-03,1.525390625000000097e-02
6.660156250000000278e-03,1.523534669262465238e-02
6.694596180419887070e-03,1.521484375000000007e-02
6.699218749999999445e-03,1.521190707641384247e-02
6.738281250000000347e-03,1.518604965509217503e-02
6.751856743018892597e-03,1.517578125000000437e-02
6.777343750000000382e-03,1.515576121172291547e-02
6.799210716190998843e-03,1.513671875000000000e-02
6.816406250000000416e-03,1.512056885780412724e-02
6.838647762530198487e-03,1.509765625000000083e-02
6.855468749999999584e-03,1.507834390599973456e-02
6.871399227148434000e-03,1.505859374999999993e-02
6.894531250000000486e-03,1.502460303836998697e-02
6.897930182931118204e-03,1.501953125000000076e-02
6.918602734742856225e-03,1.498046874999999986e-02
6.933593750000000520e-03,1.494361404437899617e-02
6.934531077771454929e-03,1.494140625000000069e-02
6.945638512278506579e-03,1.490234374999999979e-02
6.951272307004936757e-03,1.486328125000000062e-02
6.952270387771478967e-03,1.482421874999999972e-02
6.948947283637935644e-03,1.478515625000000056e-02
6.941297087471511723e-03,1.474609374999999965e-02
6.933593749999999653e-03,1.472129674244053964e-02
6.928714176608689358e-03,1.470703125000000049e-02
6.912197584260310404e-03,1.466796874999999958e-02
6.894531250000001353e-03,1.463481717824513355e-02
6.890985144771321312e-03,1.462890625000000215e-02
6.865218933186266297e-03,1.458984374999999951e-02
6.855468750000001318e-03,1.457692626743774603e-02
6.834493516234338775e-03,1.455078125000000035e-02
6.816406250000000416e-03,1.453019018918918527e-02
6.799259731305365428e-03,1.451171874999999771e-02
6.777343750000000382e-03,1.448974123467781927e-02
