x_m,y_m
4.960937500000000069e-03,1.355251231869233561e-02
4.913574466547274318e-03,1.355468750000000076e-02
4.882812500000000867e-03,1.355615188018694135e-02
4.804687499999999931e-03,1.356344368862313389e-02
4.726562499999999861e-03,1.357397496698213579e-02
4.648437499999999792e-03,1.358757190018915727e-02
4.570312499999999722e-03,1.360456282444794107e-02
4.492187500000001388e-03,1.362637716162589524e-02
4.474017851941605207e-03,1.363281250000000083e-02
4.414062500000001318e-03,1.365427405595914280e-02
4.335937500000000382e-03,1.368493329825294300e-02
4.281609208328719315e-03,1.371093750000000437e-02
4.257812500000000312e-03,1.372322936366509802e-02
4.179687500000000243e-03,1.376631743625211443e-02
4.144441106384509285e-03,1.378906250000000097e-02
4.101562500000000173e-03,1.381886021354536767e-02
4.038063578141137117e-03,1.386718750000000104e-02
4.023437500000000104e-03,1.387971751770781040e-02
3.951976852088127760e-03,1.394531250000000111e-02
3.945312500000000035e-03,1.395232075576788994e-02
3.881873330316384582e-03,1.402343749999999944e-02
3.867187499999999965e-03,1.404247638038923565e-02
3.823510504310840066e-03,1.410156249999999951e-02
3.789062499999999896e-03,1.415758573433615816e-02
3.775324268414000702e-03,1.417968749999999958e-02
3.738265188557079403e-03,1.425781249999999965e-02
3.710937500000000260e-03,1.432844306675128306e-02
3.707917186735463708e-03,1.433593749999999972e-02
3.683938853946600814e-03,1.441406249999999979e-02
3.666231724599284050e-03,1.449218749999999986e-02
3.653215798127051016e-03,1.457031249999999993e-02
3.644506466662071880e-03,1.464843750000000000e-02
3.639992481378495539e-03,1.472656250000000007e-02
3.639501994757426452e-03,1.480468750000000014e-02
3.643574412840519267e-03,1.488281250000000021e-02
3.653467798891468690e-03,1.496093749999999854e-02
3.670294963628571196e-03,1.503906250000000035e-02
3.695105127912226995e-03,1.511718750000000042e-02
3.710937500000000260e-03,1.515138792338871498e-02
3.731007011742636537e-03,1.519531250000000049e-02
3.776291939516593192e-03,1.527343750000000056e-02
3.789062499999999896e-03,1.529047624562859461e-02
3.835443111917901174e-03,1.535156250000000062e-02
3.867187499999999965e-03,1.538689981585938255e-02
3.907844022340995101e-03,1.542968750000000069e-02
3.945312500000000035e-03,1.546313677739243921e-02
4.000234219489113598e-03,1.550781250000000076e-02
4.023437500000000104e-03,1.552547802881409401e-02
4.101562500000000173e-03,1.557637581920541872e-02
4.117426612321752749e-03,1.558593750000000083e-02
4.179687500000000243e-03,1.562044809343728254e-02
4.257812500000000312e-03,1.565603449912784592e-02
4.276731908486100346e-03,1.566406249999999917e-02
4.335937500000000382e-03,1.568821701730564386e-02
4.414062500000001318e-03,1.571285117890495672e-02
4.492187500000000520e-03,1.573370360963538203e-02
4.527841832167107256e-03,1.574218750000000097e-02
4.570312499999999722e-03,1.575260863207617740e-02
4.648437499999999792e-03,1.576733916936922872e-02
4.726562499999999861e-03,1.577857131185835676e-02
4.804687499999999931e-03,1.578698518449036733e-02
4.882812500000000000e-03,1.579272165262838104e-02
4.960937500000000069e-03,1.579565143475392813e-02
5.039062500000000139e-03,1.579564102355553862e-02
5.117187500000000208e-03,1.579269122094952710e-02
5.195312500000000278e-03,1.578693596709769553e-02
5.273437500000000347e-03,1.577850375147413567e-02
5.351562500000000416e-03,1.576725051796914676e-02
5.429687500000000486e-03,1.575249049115929126e-02
5.471605150052153907e-03,1.574218750000000097e-02
5.507812499999999688e-03,1.573356320328488447e-02
5.585937499999999757e-03,1.571269023268802995e-02
5.664062499999999827e-03,1.568801161142804532e-02
5.722663940126569704e-03,1.566406250000000264e-02
5.742187499999999896e-03,1.565577187098430093e-02
5.820312499999999965e-03,1.562015256098463374e-02
5.881940394061330873e-03,1.558593750000000083e-02
5.898437500000000035e-03,1.557598657464700359e-02
5.976562500000000104e-03,1.552501713409355256e-02
5.999133807918361795e-03,1.550781250000000076e-02
6.054687500000000173e-03,1.546258849858497646e-02
6.091507304861739497e-03,1.542968750000000069e-02
6.132812500000000243e-03,1.538617672060064133e-02
6.163889023603694173e-03,1.535156250000000062e-02
6.210937500000000312e-03,1.528953259194586710e-02
6.222998092180036592e-03,1.527343750000000056e-02
6.268277381432027506e-03,1.519531250000000049e-02
6.289062500000000382e-03,1.514978612615289731e-02
6.304167243003907205e-03,1.511718750000000042e-02
6.328983270250319350e-03,1.503906250000000035e-02
6.345784210647047695e-03,1.496093750000000201e-02
6.355666480101957588e-03,1.488281250000000021e-02
6.359740582595129268e-03,1.480468750000000014e-02
6.359257559715655872e-03,1.472656250000000007e-02
6.354761241030019298e-03,1.464843750000000000e-02
6.346072983855778442e-03,1.457031249999999993e-02
6.333077220128476535e-03,1.449218749999999986e-02
6.315385609035277688e-03,1.441406249999999979e-02
6.291415140434660283e-03,1.433593749999999972e-02
6.289062500000000382e-03,1.433009988099837907e-02
6.261144062553412708e-03,1.425781249999999965e-02
6.224091830497461772e-03,1.417968749999999958e-02
6.210937500000000312e-03,1.415850316137178683e-02
6.175992169488276652e-03,1.410156249999999951e-02
6.132812500000000243e-03,1.404317080673929061e-02
6.117598490579498165e-03,1.402343749999999944e-02
6.054687500000000173e-03,1.395291940836629677e-02
6.047456126206603860e-03,1.394531249999999938e-02
5.976562500000000971e-03,1.388020126084318212e-02
5.961379035109354817e-03,1.386718750000000104e-02
5.898437500000000035e-03,1.381924236832180602e-02
5.855029999233037769e-03,1.378906250000000097e-02
5.820312499999999965e-03,1.376663570323251665e-02
5.742187499999999896e-03,1.372351526077295047e-02
5.717850487653883436e-03,1.371093750000000437e-02
5.664062499999999827e-03,1.368515803536043615e-02
5.585937499999999757e-03,1.365446764474197681e-02
5.525484786957093886e-03,1.363281250000000083e-02
5.507812499999999688e-03,1.362654409188633793e-02
5.429687500000000486e-03,1.360468821998878607e-02
5.351562500000000416e-03,1.358767144635929063e-02
5.273437500000000347e-03,1.357405397432151148e-02
5.195312500000000278e-03,1.356350232801934938e-02
5.117187500000000208e-03,1.355618832466555686e-02
5.085862237733870805e-03,1.355468750000000076e-02
5.039062500000000139e-03,1.355252397282570576e-02
4.960937500000000069e-03,1.355251231869233561e-02
