time,rise_velocity,centroid_y,gas_area,phi_min,phi_max,divergence_linf,kinetic_energy,steps,substeps,poisson_solves,poisson_residual
0.0,0.0,0.004999999999999944,4.92450912986553e-6,2.5701663020072374e-14,1.0,0.0,0.0,0,0,0,0.0
8.113254222841739e-6,7.040467287802191e-5,0.004999999999999944,4.92450912986553e-6,2.5701663020072374e-14,1.0,1.7759322610416683e-7,1.3850747545402829e-11,1,1,1,0.3357958572950945
1.6226508445683478e-5,0.00014080537256387055,0.00500000057121092,4.92450912986553e-6,2.5701430563816813e-14,1.0000000000000784,2.1601194791220912e-7,5.539799021064757e-11,2,2,2,0.36149063321701796
2.4339762668525215e-5,0.0002112030670510268,0.005000001713538579,4.924509129865531e-6,2.570096267988494e-14,1.0000000000001357,1.8617962601035626e-7,1.24635584766613e-10,3,3,3,0.34412964790208284
3.2453016891366956e-5,0.00028159777770247845,0.005000003426959403,4.92450912986553e-6,2.5700258748962897e-14,1.0000000000001614,1.6719624573724445e-7,2.2155764614269453e-10,4,4,4,0.3488846991577806
4.05662711142087e-5,0.000351989511096773,0.005000005711449154,4.924509129865531e-6,2.5699324100854604e-14,1.000000000000267,2.0572378279376524e-7,3.461583131878466e-10,5,5,5,0.36660276198315556
4.867952533705044e-5,0.00042237826395195166,0.005000008566983624,4.92450912986553e-6,2.569815368036422e-14,1.0000000000002758,1.9553209784639591e-7,4.984317391029631e-10,6,6,6,0.3446227045693768
5.679277955989218e-5,0.0004927640327008447,0.005000011993539713,4.92450912986553e-6,2.569675573750974e-14,1.0000000000003586,1.8234223236879288e-7,6.783720940278688e-10,7,7,7,0.33441282322191324
6.490603378273391e-5,0.0005631468142172597,0.005000015991093162,4.924509129865528e-6,2.5695122226887637e-14,1.00000000000044,1.974903321710908e-7,8.859735669460748e-10,8,8,8,0.3596077421232666
7.301928800557565e-5,0.0006335266070260973,0.005000020559621066,4.92450912986553e-6,2.569325247929739e-14,1.0000000000004243,2.175424038963758e-7,1.1212303665208352e-9,9,9,9,0.3509793554241232
8.113254222841738e-5,0.0007039033964665449,0.005000025699098732,4.92450912986553e-6,2.5691145802673602e-14,1.0000000000004365,2.0149804974556318e-7,1.384136721306926e-9,10,10,10,0.35827012942020037
8.924579645125911e-5,0.0007742771903737876,0.005000031409503606,4.92450912986553e-6,2.5688801476950147e-14,1.0000000000004838,2.0168697198452712e-7,1.6746868795611545e-9,11,11,11,0.3652327030293485
9.735905067410085e-5,0.0008446479806122856,0.005000037690812221,4.92450912986553e-6,2.568621875889694e-14,1.000000000000636,2.1236310299155292e-7,1.9928751088978246e-9,12,12,12,0.36356971447844966
0.00010547230489694258,0.0009150157632289348,0.0050000445430009675,4.92450912986553e-6,2.568339687683583e-14,1.000000000000815,1.925401678093408e-7,2.338695695803191e-9,13,13,13,0.35511159966431366
0.00011358555911978432,0.0009853805339245676,0.005000051966046778,4.92450912986553e-6,2.568033503541835e-14,1.0000000000008082,1.9249367411156015e-7,2.7121429450995027e-9,14,14,14,0.36201607323501606
0.00012169881334262605,0.0010557422886349488,0.005000059959926436,4.92450912986553e-6,2.5677032429374462e-14,1.0000000000008578,1.9526666239499946e-7,3.1132111793765843e-9,15,15,15,0.36639401247962483
0.0001298120675654678,0.0011261010232093175,0.005000068524616752,4.92450912986553e-6,2.5673510266182554e-14,1.0000000000009963,1.8405600619997298e-7,3.541894738410092e-9,16,16,16,0.3550038508546689
0.00013792532178830955,0.001196456733840043,0.005000077660094965,4.92450912986553e-6,2.5669747057463043e-14,1.0000000000010274,2.0592002858421665e-7,3.998187978577079e-9,17,17,17,0.36287492808067334
0.0001460385760111513,0.0012668094153027076,0.005000087366337769,4.92450912986553e-6,2.5665741912847678e-14,1.0000000000011326,2.3797998207480964e-7,4.482085272280209e-9,18,18,18,0.36570863625297645
0.00015415183023399304,0.0013371590611502536,0.005000097643322499,4.92450912986553e-6,2.5661493924337887e-14,1.000000000001137,2.1732063526513912e-7,4.99358100737423e-9,19,19,19,0.3625136670717192
0.0001622650844568348,0.001407505670100284,0.005000108491026252,4.92450912986553e-6,2.5657002082424436e-14,1.0000000000011453,2.2271656793804162e-7,5.5326695866135885e-9,20,20,20,0.35440468031868
0.00017037833867967654,0.001477849237379809,0.0050001199094263805,4.92450912986553e-6,2.56522948477786e-14,1.0000000000011733,1.9426627997920498e-7,6.099345427110209e-9,21,21,21,0.35603572777696213
0.00017849159290251828,0.0015481897584777012,0.0050001318985003675,4.92450912986553e-6,2.5647374279053574e-14,1.0000000000011557,1.9363592500265536e-7,6.69360295980539e-9,22,22,22,0.3584770237603503
0.00018660484712536003,0.0016185272286499987,0.0050001444582253515,4.92450912986553e-6,2.564220984910822e-14,1.0000000000011444,1.9669835708835404e-7,7.3154366289597495e-9,23,23,23,0.3648937414652011
0.00019471810134820178,0.0016888616430380113,0.005000157588578816,4.92450912986553e-6,2.563680053435913e-14,1.0000000000011504,1.8389811895502817e-7,7.964840891658525e-9,24,24,24,0.3609981156353678
0.00020283135557104353,0.001759192997785028,0.005000171289538205,4.92450912986553e-6,2.5631180436580997e-14,1.0000000000011124,1.8627870490561804e-7,8.641810217333004e-9,25,25,25,0.36654672886903483
0.00021094460979388527,0.001829521287271718,0.005000185561081327,4.92450912986553e-6,2.5625314769711425e-14,1.0000000000011198,2.0316617121290959e-7,9.346339087297181e-9,26,26,26,0.3619500143042036
0.00021905786401672702,0.0018998465079674966,0.005000200403186087,4.92450912986553e-6,2.5619202499989067e-14,1.0000000000011302,1.9266939571549457e-7,1.0078421994301397e-8,27,27,27,0.35741690064721576
0.00022717111823956877,0.0019701686545222767,0.005000215815829394,4.924509129865531e-6,2.5612842602239744e-14,1.0000000000011127,2.1531270620600562e-7,1.0838053442098649e-8,28,28,28,0.34631656346631823
0.00023528437246241052,0.002040487722013556,0.005000231798989813,4.92450912986553e-6,2.560627483699107e-14,1.000000000001153,2.248903865215146e-7,1.1625227945026569e-8,29,29,29,0.3559909384541416
0.00024339762668525226,0.0021108037053886824,0.005000248352644961,4.92450912986553e-6,2.559950137524619e-14,1.000000000001199,2.0041852163976692e-7,1.2439940027605004e-8,30,30,30,0.35390093519824795
0.000251510880908094,0.002181116599721281,0.005000265476772513,4.92450912986553e-6,2.5592479676760697e-14,1.0000000000011655,2.1124056981403072e-7,1.3282184224144421e-8,31,31,31,0.36473841544085217
0.00025962413513093576,0.002251426400025132,0.005000283171350873,4.92450912986553e-6,2.558525388433148e-14,1.000000000001179,2.359586364839017e-7,1.4151955078374616e-8,32,32,32,0.35389894579330505
0.0002677373893537775,0.00232173310140315,0.005000301436357878,4.92450912986553e-6,2.5577778438054337e-14,1.0000000000011517,2.0947459416359449e-7,1.504924714307696e-8,33,33,33,0.35982323922379045
0.00027585064357661925,0.0023920366988786405,0.005000320271771764,4.924509129865528e-6,2.557005268091372e-14,1.0000000000011606,1.7951622346620844e-7,1.597405497973658e-8,34,34,34,0.3442455879368341
0.000283963897799461,0.002462337187528799,0.005000339677570551,4.92450912986553e-6,2.5562124990996238e-14,1.0000000000011717,1.8807354017214006e-7,1.6926373158200888e-8,35,35,35,0.3593063883515587
0.00029207715202230275,0.002532634562103735,0.0050003596537325674,4.92450912986553e-6,2.555399780660027e-14,1.00000000000118,1.9023328578018917e-7,1.790619625635331e-8,36,36,36,0.3650245290498572
0.0003001904062451445,0.0026029288175536585,0.0050003802002358926,4.92450912986553e-6,2.5545671850708095e-14,1.0000000000011484,1.7623374114206225e-7,1.8913518859794807e-8,37,37,37,0.34614751687955236
0.00030830366046798624,0.002673219948844897,0.005000401317058964,4.92450912986553e-6,2.5537095001438147e-14,1.0000000000011193,1.8379695924941597e-7,1.994833556153829e-8,38,38,38,0.35877953513845773
0.000316416914690828,0.00274350795047417,0.0050004230041805,4.92450912986553e-6,2.5528266074074698e-14,1.0000000000010865,1.9811646179146436e-7,2.1010640961712622e-8,39,39,39,0.3657943055091682
0.00032453016891366974,0.0028137928172775107,0.005000445261578692,4.92450912986553e-6,2.5519240579469506e-14,1.0000000000010976,1.8557380182526728e-7,2.2100429667274494e-8,40,40,40,0.3653989892735251
0.0003326434231365115,0.002884074543720412,0.005000468089232051,4.92450912986553e-6,2.5509962103034764e-14,1.0000000000010978,1.7494847429078142e-7,2.3217696291731447e-8,41,41,41,0.3662357656407442
0.00034075667735935323,0.0029543531248051942,0.005000491487118932,4.92450912986553e-6,2.550054826205808e-14,1.0000000000010931,1.975698695130812e-7,2.4362435454872998e-8,42,42,42,0.3665707313090664
0.000348869931582195,0.003024628554905665,0.005000515455218687,4.92450912986553e-6,2.5490881565212635e-14,1.0000000000011176,1.9734591426290304e-7,2.5534641782509777e-8,43,43,43,0.3589823944422026
0.00035698318580503673,0.00309490082876153,0.005000539993509422,4.92450912986553e-6,2.5481023121035356e-14,1.0000000000010862,2.030140128922442e-7,2.6734309906221097e-8,44,44,44,0.3663504242312038
0.0003650964400278785,0.0031651699401460225,0.005000565101970033,4.92450912986553e-6,2.5470910905775192e-14,1.0000000000011107,2.060148371341164e-7,2.7961434463109603e-8,45,45,45,0.3523097429662504
0.0003732096942507202,0.003235435884384107,0.005000590780579266,4.92450912986553e-6,2.546067523130456e-14,1.0000000000010756,2.1286609347415109e-7,2.9216010095564714e-8,46,46,46,0.3638386373574566
0.00038132294847356197,0.0033056986548731637,0.005000617029316036,4.92450912986553e-6,2.5450185960068403e-14,1.0000000000011284,2.1475829548034397e-7,3.0498031451032127e-8,47,47,47,0.3513985644807323
0.0003894362026964037,0.0033759582468937837,0.0050006438481590655,4.924509129865528e-6,2.5439509678923495e-14,1.0000000000011335,2.224827717611788e-7,3.180749318178866e-8,48,48,48,0.3639088561923502
0.00039754945691924547,0.003446214653699865,0.005000671237087554,4.92450912986553e-6,2.5428577112209644e-14,1.000000000001143,2.027141849381131e-7,3.31443899447315e-8,49,49,49,0.35294072572086144
0.0004056627111420872,0.0035164678704771957,0.005000699196080522,4.92450912986553e-6,2.5417459968488074e-14,1.00000000000112,2.0796653651955488e-7,3.450871640117007e-8,50,50,50,0.36389714750072316
0.00041377596536492896,0.0035867178906176895,0.005000727725117132,4.924509129865528e-6,2.540616213984391e-14,1.0000000000011533,2.2200027008367762e-7,3.5900467216631254e-8,51,51,51,0.36032069744984785
0.0004218892195877707,0.003656964708454916,0.005000756824176238,4.92450912986553e-6,2.539468271921005e-14,1.0000000000011369,1.9458566347108075e-7,3.731963706063948e-8,52,52,52,0.3587647602210719
0.00043000247381061246,0.0037272083182461036,0.005000786493237316,4.92450912986553e-6,2.538294884025239e-14,1.0000000000011202,1.990955051933696e-7,3.87662206065278e-8,53,53,53,0.3625772835235034
0.0004381157280334542,0.003797448713485935,0.005000816732279217,4.924509129865528e-6,2.5371035343837925e-14,1.0000000000011187,2.0642452677743783e-7,4.0240212531251484e-8,54,54,54,0.3665511004186689
0.00044622898225629595,0.00386768588831966,0.005000847541281449,4.92450912986553e-6,2.535902137274032e-14,1.0000000000011355,1.7673131713635826e-7,4.1741607515202736e-8,55,55,55,0.361375009830092
0.0004543422364791377,0.003937919836837418,0.005000878920222974,4.92450912986553e-6,2.5346753317407123e-14,1.0000000000011056,1.7908200256044893e-7,4.327040024203265e-8,56,56,56,0.3652253323604555
0.00046245549070197945,0.004008150552117498,0.005000910869083512,4.92450912986553e-6,2.5334310109509738e-14,1.0000000000011307,1.906271154261674e-7,4.482658539818679e-8,57,57,57,0.35204852454262486
0.0004705687449248212,0.00407837802884106,0.005000943387842596,4.92450912986553e-6,2.5321697175666308e-14,1.000000000001144,1.970699257114461e-7,4.6410157673588145e-8,58,58,58,0.36383397204688195
0.00047868199914766294,0.0041486022602087525,0.005000976476479163,4.92450912986553e-6,2.530891249722014e-14,1.000000000001177,1.9897156966486307e-7,4.802111176062576e-8,59,59,59,0.3642617635273019
0.0004867952533705047,0.004218823239342613,0.005001010134972665,4.92450912986553e-6,2.529595753815466e-14,1.0000000000012061,2.168490595977346e-7,4.9659442354271474e-8,60,60,60,0.35797698290598723
0.0004949085075933464,0.004289040960801273,0.005001044363302775,4.92450912986553e-6,2.5282745037644318e-14,1.0000000000012927,2.234186706751018e-7,5.132514415192495e-8,61,61,61,0.3647942980061459
0.0005030217618161881,0.004359255416425692,0.005001079161449294,4.92450912986553e-6,2.526945554948914e-14,1.000000000001376,1.8906409993135753e-7,5.301821185326347e-8,62,62,62,0.3597699523021117
0.0005111350160390298,0.004429466601661126,0.005001114529391551,4.92450912986553e-6,2.5256000609474035e-14,1.0000000000012943,1.8213150809742729e-7,5.473864016008705e-8,63,63,63,0.35858704412391046
0.0005192482702618715,0.004499674509369896,0.005001150467109149,4.92450912986553e-6,2.5242292846074114e-14,1.0000000000013336,1.853827980013989e-7,5.6486423776171156e-8,64,64,64,0.36326196329333316
0.0005273615244847132,0.0045698791322054035,0.005001186974581651,4.92450912986553e-6,2.522851797253322e-14,1.0000000000013718,1.9267123718691437e-7,5.826155740711384e-8,65,65,65,0.3552504980835381
0.0005354747787075549,0.004640080464092799,0.005001224051788992,4.92450912986553e-6,2.52145781545271e-14,1.0000000000012939,1.9366540993104309e-7,6.006403576016375e-8,66,66,66,0.3574914424549495
0.0005435880329303966,0.004710278497886817,0.005001261698710701,4.92450912986553e-6,2.5200479894794696e-14,1.0000000000012186,1.974279904004561e-7,6.189385354414022e-8,67,67,67,0.36587687561196985
0.0005517012871532383,0.004780473226717447,0.005001299915326769,4.92450912986553e-6,2.5186130321330768e-14,1.0000000000011544,1.9806373785513642e-7,6.375100546922345e-8,68,68,68,0.3667537623334796
0.00055981454137608,0.004850664642927211,0.005001338701616893,4.92450912986553e-6,2.5171727109083642e-14,1.000000000001206,2.1446504072653028e-7,6.563548624683703e-8,69,69,69,0.3660011611221887
0.0005679277955989217,0.004920852739959236,0.005001378057560625,4.92450912986553e-6,2.5157165247002806e-14,1.0000000000011873,1.93752920263357e-7,6.754729058951449e-8,70,70,70,0.3587407643497786
0.0005760410498217634,0.004991037511772776,0.005001417983138085,4.92450912986553e-6,2.5142353748951233e-14,1.0000000000012133,2.000292722570407e-7,6.948641321076823e-8,71,71,71,0.3524578609918876
0.0005841543040446051,0.00506121895110819,0.005001458478329423,4.92450912986553e-6,2.5127499076225577e-14,1.000000000001209,1.9704127979247588e-7,7.145284882496288e-8,72,72,72,0.3662297920064439
0.0005922675582674468,0.005131397049627625,0.005001499543113939,4.92450912986553e-6,2.5112497356923772e-14,1.0000000000012477,2.0526138388987647e-7,7.344659214718828e-8,73,73,73,0.3652386706569991
0.0006003808124902884,0.005201571800950201,0.005001541177472124,4.92450912986553e-6,2.5097343859884486e-14,1.0000000000012443,1.9902430548057737e-7,7.546763789312942e-8,74,74,74,0.35208436847537183
0.0006084940667131301,0.005271743196974291,0.0050015833813836265,4.92450912986553e-6,2.5082158668445985e-14,1.0000000000012856,2.072418132936793e-7,7.751598077893954e-8,75,75,75,0.3580257039558313
0.0006166073209359718,0.005341911231795792,0.005001626154828358,4.92450912986553e-6,2.506672869195901e-14,1.0000000000012848,2.0391386268414635e-7,7.95916155211096e-8,76,76,76,0.3637495919025777
0.0006247205751588135,0.005412075895976233,0.005001669497786518,4.92450912986553e-6,2.505116001251546e-14,1.000000000001328,2.1074372177909417e-7,8.16945368363417e-8,77,77,77,0.3626933196720108
0.0006328338293816552,0.005482237183483722,0.00500171341023818,4.92450912986553e-6,2.5035562935843142e-14,1.0000000000013263,2.0750219806298098e-7,8.382473944141917e-8,78,78,78,0.3599071287197063
0.0006409470836044969,0.005552395085734721,0.005001757892163678,4.92450912986553e-6,2.5019832004939865e-14,1.0000000000013265,1.7907264629468678e-7,8.598221805311957e-8,79,79,79,0.3626604162217138
0.0006490603378273386,0.005622549595950198,0.0050018029435426655,4.924509129865528e-6,2.5003969380724738e-14,1.0000000000013378,1.8564080739302824e-7,8.81669673879736e-8,80,80,80,0.35145008917253345
0.0006571735920501803,0.005692700706118963,0.005001848564355348,4.924509129865528e-6,2.49879883876117e-14,1.0000000000013072,1.8422992542621586e-7,9.037898216225543e-8,81,81,81,0.3523921133537124
0.000665286846273022,0.005762848408340277,0.005001894754581694,4.92450912986553e-6,2.4971871605556352e-14,1.000000000001278,1.8529524631327732e-7,9.261825709182199e-8,82,82,82,0.3546842007563361
0.0006734001004958637,0.005832992694750231,0.005001941514202019,4.92450912986553e-6,2.4955631120880447e-14,1.0000000000012503,1.886807102779997e-7,9.488478689198882e-8,83,83,83,0.3604236688599462
0.0006815133547187054,0.005903133557416179,0.0050019888431966225,4.924509129865528e-6,2.4939395353805628e-14,1.0000000000012683,1.8910703641905613e-7,9.717856627741749e-8,84,84,84,0.3624434882283756
0.0006896266089415471,0.005973270988258606,0.005002036741545462,4.92450912986553e-6,2.492303109539639e-14,1.0000000000012832,2.0146553181277227e-7,9.94995899619887e-8,85,85,85,0.36230014567975954
0.0006977398631643888,0.006043404979367112,0.00500208520922918,4.92450912986553e-6,2.490655121107817e-14,1.000000000001286,2.0382638465932246e-7,1.0184785265868248e-7,86,86,86,0.3666293833844062
0.0007058531173872305,0.006113535522462771,0.00500213424622755,4.92450912986553e-6,2.489008935336537e-14,1.000000000001289,1.931288052675617e-7,1.0422334907945773e-7,87,87,87,0.35974263429615155
0.0007139663716100722,0.006183662609454785,0.005002183852520627,4.92450912986553e-6,2.4873518012990475e-14,1.0000000000012679,1.982422189877875e-7,1.0662607393512859e-7,88,88,88,0.36474875818449365
0.0007220796258329138,0.006253786231918909,0.00500223402808897,4.92450912986553e-6,2.4856708473359114e-14,1.0000000000012599,1.820116004580541e-7,1.0905602193523501e-7,89,89,89,0.35962170472312016
0.0007301928800557555,0.006323906381673426,0.005002284772912779,4.92450912986553e-6,2.4839931072685288e-14,1.0000000000012819,1.8501401566339837e-7,1.1151318778791539e-7,90,90,90,0.3642664172711078
0.0007383061342785972,0.006394023050178533,0.0050023360869721955,4.92450912986553e-6,2.4823052995214585e-14,1.0000000000013065,2.0796228528130456e-7,1.1399756619979703e-7,91,91,91,0.3618151584156076
0.0007464193885014389,0.006464136228973541,0.00500238797024771,4.92450912986553e-6,2.480606487356789e-14,1.0000000000013247,1.9898923908634458e-7,1.1650915187587731e-7,92,92,92,0.34515848716624103
0.0007545326427242806,0.00653424590952543,0.005002440422719248,4.9245091298655275e-6,2.4789123386494428e-14,1.0000000000012859,2.0058109417853132e-7,1.1904793951940283e-7,93,93,93,0.3476583828556221
0.0007626458969471223,0.006604352083155892,0.005002493444367357,4.92450912986553e-6,2.4772091849905023e-14,1.0000000000012452,2.0783408616331656e-7,1.2161392383175023e-7,94,94,94,0.3551365664157172
0.000770759151169964,0.0066744547411498175,0.005002547035172247,4.92450912986553e-6,2.4755103493246282e-14,1.0000000000012559,2.0663621991268144e-7,1.242070995123086e-7,95,95,95,0.35726671630522605
0.0007788724053928057,0.006744553874719907,0.005002601195114011,4.92450912986553e-6,2.4738031808681356e-14,1.0000000000012692,2.0989198223908545e-7,1.2682746125836298e-7,96,96,96,0.3621050323780003
0.0007869856596156474,0.006814649474969665,0.005002655924173275,4.924509129865531e-6,2.4720881066965232e-14,1.0000000000012843,2.0172029602250063e-7,1.294750037649787e-7,97,97,97,0.3556400931171148
0.0007950989138384891,0.006884741533001198,0.005002711222329977,4.92450912986553e-6,2.4703788018734917e-14,1.0000000000012967,2.0693223801160343e-7,1.321497217248829e-7,98,98,98,0.3545989350275259
0.0008032121680613308,0.006954830039893971,0.00500276708956484,4.92450912986553e-6,2.468662307539577e-14,1.000000000001273,2.038797581871421e-7,1.3485160982835225e-7,99,99,99,0.3578854227201433
0.0008113254222841725,0.007024914986380902,0.0050028235258579405,4.92450912986553e-6,2.466937348480436e-14,1.0000000000012783,2.351410011147692e-7,1.375806627630961e-7,100,100,100,0.36541362943306477
0.0008194386765070142,0.0070949963635495664,0.005002880531189216,4.92450912986553e-6,2.4652214620052904e-14,1.000000000001306,2.1288695667420754e-7,1.4033687521414006e-7,101,101,101,0.35683367109456643
0.0008275519307298559,0.0071650741618695425,0.005002938105539998,4.92450912986553e-6,2.4634996819705466e-14,1.0000000000012832,2.1806575772886916e-7,1.43120241863754e-7,102,102,102,0.36442821877754356
0.0008356651849526976,0.007235148372390552,0.005002996248890543,4.92450912986553e-6,2.461770628873783e-14,1.0000000000012728,2.196790612474242e-7,1.4593075739131448e-7,103,103,103,0.36454421344776844
0.0008437784391755392,0.007305218985549684,0.005003054961221662,4.92450912986553e-6,2.4600524611369648e-14,1.0000000000012719,2.2157529927513409e-7,1.487684164731775e-7,104,104,104,0.3608929416460091
0.0008518916933983809,0.0073752859920243816,0.005003114242512898,4.92450912986553e-6,2.45832769461734e-14,1.0000000000012623,2.2184737918928832e-7,1.5163321378256156e-7,105,105,105,0.3617224765735171
0.0008600049476212226,0.007445349382239021,0.005003174092745122,4.92450912986553e-6,2.4565987780222335e-14,1.0000000000012546,2.1668112415440532e-7,1.5452514398943878e-7,106,106,106,0.3666741230102436
0.0008681182018440643,0.007515409146643422,0.005003234511898487,4.92450912986553e-6,2.454882716353682e-14,1.0000000000012443,2.2250947395718867e-7,1.5744420176042492e-7,107,107,107,0.3580340903652938
0.000876231456066906,0.007585465275599487,0.005003295499953072,4.92450912986553e-6,2.4531614049418258e-14,1.0000000000012215,2.257617386369759e-7,1.603903817586707e-7,108,108,108,0.36133695351466405
0.0008843447102897477,0.00765551775935827,0.005003357056889235,4.92450912986553e-6,2.451437386657642e-14,1.0000000000012284,2.0394792299427422e-7,1.6336367864375267e-7,109,109,109,0.3622549690408249
0.0008924579645125894,0.007725566588140243,0.005003419182687535,4.92450912986553e-6,2.4497259963036573e-14,1.000000000001239,2.0549029677852104e-7,1.6636408707156353e-7,110,110,110,0.36260826703236265
