file,time
field_000000.vtk,0.0
field_000001.vtk,0.003650964400278782
field_000002.vtk,0.0070585311738723166
field_000003.vtk,0.010709495574151094
field_000004.vtk,0.014117062347744617
field_000005.vtk,0.01752462912133814
field_000006.vtk,0.021175593521616916
field_000007.vtk,0.02458316029521044
field_000008.vtk,0.028234124695489214
field_000009.vtk,0.03164169146908274
field_000010.vtk,0.03504925824267626
field_000011.vtk,0.038700222642955036
field_000012.vtk,0.04210778941654856
field_000013.vtk,0.04551535619014208
field_000014.vtk,0.04916632059042086
field_000015.vtk,0.05257388736401438
field_000016.vtk,0.056224851764293156
field_000017.vtk,0.05963241853788668
field_000018.vtk,0.06303998531148021
field_000019.vtk,0.06669094971175898
field_000020.vtk,0.07
