file,time
field_000000.vtk,0.0
field_000001.vtk,0.0035292655869361544
field_000002.vtk,0.0070585311738723035
field_000003.vtk,0.01052694735413714
field_000004.vtk,0.014056212941073289
field_000005.vtk,0.017524629121338127
field_000006.vtk,0.021053894708274276
field_000007.vtk,0.024522310888539112
field_000008.vtk,0.028051576475475262
field_000009.vtk,0.031519992655740112
field_000010.vtk,0.035049258242676462
field_000011.vtk,0.038517674422941496
field_000012.vtk,0.042046940009877846
field_000013.vtk,0.04551535619014288
field_000014.vtk,0.049044621777079231
field_000015.vtk,0.052513037957344265
field_000016.vtk,0.056042303544280615
field_000017.vtk,0.059510719724545649
field_000018.vtk,0.063039985311481944
field_000019.vtk,0.066508401491746583
field_000020.vtk,0.070000000000000007
