time,rise_velocity
0,0
0.0006733993055555566,-0.006382699999999996
0.0007545329861111128,-0.006610878787878788
0.0008194392361111117,-0.006456757575757575
0.0009005711805555564,-0.005882639393939395
0.0011196302083333345,-0.004129075757575754
0.0011845399305555565,-0.004129954545454541
0.001241329861111113,-0.00446963636363637
0.0013224600694444458,-0.005447440909090902
0.0014928402777777776,-0.00763574242424243
0.0015496302083333338,-0.007787987878787884
0.0016064201388888903,-0.00754975757575757
0.0018092604166666667,-0.006214833333333324
0.001857940625000001,-0.006530075757575754
0.0019147307291666681,-0.00736937878787878
0.0020120902777777784,-0.00960980303030304
0.002141901041666667,-0.012363393939393943
0.0022068105902777785,-0.013006803030303033
0.0022636005208333345,-0.01312499999999999
0.0023366197916666683,-0.012859893939393949
0.0024907708333333336,-0.011788393939393932
0.002580010416666667,-0.01084028939393939
0.0026692604166666683,-0.009281333333333338
0.0029856803819444445,-0.0028825909090909193
0.0031317204861111125,-0.0009000909090909075
0.0032290798611111123,0.0012940606060606002
0.003545489583333334,0.009158772727272736
0.003723980555555557,0.013340696969696978
0.0038943611111111123,0.017190603030303033
0.004032289930555558,0.019263104545454553
0.004210781076388891,0.022030999999999995
0.004640780902777779,0.029793000000000007
0.005273619791666668,0.044596803030303035
0.005719840277777778,0.05362199999999999
0.005841539930555557,0.055071303030303026
0.006076829861111113,0.057042499999999996
0.006401359375,0.06005419696969696
0.00653927951388889,0.061883303030303025
0.006734,0.06521560606060609
0.007034190798611112,0.07019019696969694
0.007326270833333333,0.0742802121212121
0.007642690625000001,0.07805860606060605
0.007804949652777779,0.07956051515151515
0.00791042013888889,0.08007819696969697
0.007991560590277778,0.08010739393939394
0.00807269045138889,0.07978881818181817
0.008178159722222222,0.07894259090909092
0.008494579861111112,0.07609099999999998
0.008616280902777778,0.07564260606060605
0.008778539930555556,0.07546960606060608
0.008965150868055556,0.07520689393939393
0.009086840277777779,0.074674
0.009224770833333333,0.0736504090909091
0.009500621527777777,0.07100021212121212
0.009719680555555558,0.06854560606060608
0.009914399305555557,0.06572710606060604
0.010263302083333335,0.05983490757575758
0.010474201388888889,0.056611407575757576
0.010628399305555557,0.054903999999999994
0.010790600694444446,0.053639907575757574
0.010936701388888892,0.052903406060606055
0.011050300347222224,0.0526747090909091
0.011163800347222225,0.052792
0.011293600694444446,0.05329160303030304
0.01145590104166667,0.05430080303030304
0.011894000000000002,0.057272393939393935
0.012113100694444448,0.058006707575757564
0.012307802083333335,0.058808603030303025
0.012453802083333335,0.059801707575757576
0.012599901041666669,0.06121830151515151
0.012810802083333335,0.06382980303030303
0.013565401041666666,0.07362780303030302
0.014060300347222224,0.07988199999999998
0.014498399305555557,0.08617101515151517
0.014717401041666668,0.08990378787878787
0.014903999999999999,0.09382710606060607
0.015131197916666665,0.099493
0.015561201388888888,0.11029800000000001
0.015796501736111114,0.11507999999999999
0.01602370138888889,0.11889699999999997
0.016218401041666667,0.12151200000000002
0.01639690104166667,0.12331
0.016567300347222223,0.12452699999999998
0.016762001736111115,0.125461
0.016948600694444444,0.125977
0.017110901041666668,0.126081
0.017265000000000003,0.12583700000000003
0.017427300347222223,0.125213
0.017597600694444444,0.12418100000000001
0.017784300347222223,0.122624
0.01799519965277778,0.120344
0.018595602430555556,0.11341701515151516
0.018814598958333335,0.111748
0.019317699652777777,0.108059
0.020120901041666667,0.101645
0.0205265,0.09875449999999998
0.020737500000000002,0.09763871212121213
0.020907901041666666,0.09710310606060607
0.021070100694444448,0.09694110606060607
0.0212405,0.09711160606060606
0.021443298611111113,0.0976669090909091
0.021719199652777778,0.09880810606060604
0.021978800347222223,0.100235
0.02217350173611111,0.10168201515151515
0.022360100694444447,0.103489
0.02257919965277778,0.10613401515151516
0.022863201388888886,0.11022599999999998
