time,rise_velocity
0,0
0.0027909600694444444,0.023985106060606054
0.004462289930555557,0.037930696969696975
0.005768520659722223,0.0483973
0.006928720486111111,0.05723330303030302
0.007983440972222224,0.064819
0.009038170138888888,0.07195671212121213
0.010092899305555554,0.07866680303030302
0.011196300347222223,0.0852861212121212
0.012421401041666667,0.09223810606060606
0.013703298611111112,0.09914610606060606
0.015131197916666665,0.10647701515151517
0.016891802083333334,0.11497900000000001
0.018311600694444444,0.12127500000000002
0.019479901041666667,0.125994
0.020575201388888888,0.130005
0.02164619791666667,0.133528
0.02277390104166667,0.136831
0.02409640104166667,0.140248
0.02520789930555556,0.14281901515151516
0.027804100694444445,0.14809500000000003
0.03172280208333333,0.15518101515151514
0.03526020312500001,0.160688
0.036866604166666664,0.1627
0.03863529513888889,0.16449701515151513
0.04069609895833333,0.16610901515151513
0.0420997013888889,0.16698
0.043925203125,0.167939
0.049085201388888895,0.17065499999999997
0.057717703125000006,0.175815
0.06011920138888889,0.176833
0.06322660243055557,0.17781601515151513
0.06779439930555554,0.179112
0.07000120312500001,0.17988600000000002
