file,time
field_000000.vtk,0.0
field_000001.vtk,0.0035292655869361583
field_000002.vtk,0.0070585311738723087
field_000003.vtk,0.010587796760808458
field_000004.vtk,0.014117062347744607
field_000005.vtk,0.01752462912133813
field_000006.vtk,0.02105389470827428
field_000007.vtk,0.024583160295210429
field_000008.vtk,0.028112425882146578
field_000009.vtk,0.031519992655740105
field_000010.vtk,0.035049258242676254
field_000011.vtk,0.038578523829612403
field_000012.vtk,0.042107789416548552
field_000013.vtk,0.045515356190142076
field_000014.vtk,0.049044621777078225
field_000015.vtk,0.052573887364014374
field_000016.vtk,0.056103152950950523
field_000017.vtk,0.059510719724544046
field_000018.vtk,0.063039985311480223
field_000019.vtk,0.066569250898416574
field_000020.vtk,0.070000000000000007
