nx,force_model,max_projected_face_acceleration,pressure_jump
64,paper,9.13229254955583,60.039434865321695
64,constant_curvature,1.035835363509991,58.33452969314074
64,discrete_potential,2.3329889826413714e-7,57.599920183213506
128,paper,4.46137871968975,58.701627515812966
128,constant_curvature,3.090015483245679,58.3845433152531
128,discrete_potential,1.055428331513534e-6,57.60000005597237
256,paper,8.032202443091538,58.500146293032316
256,constant_curvature,7.212218908243766,58.43608111889906
256,discrete_potential,1.6918366444325376e-6,57.600000064745295
