step,time_s,liquid_area_m2,boundary_integral_m2,balance_error_m2,phi_min,phi_max
0,0,9.834519634239778e-7,0,0,0.0,1.0
1,3.0e-6,9.83478963423978e-7,2.6999999999999988e-11,1.1003763968942718e-22,0.0,1.0000010053582669
