file,time
field_000000.vtk,0.0
field_000001.vtk,0.003500869197156275
field_000002.vtk,0.0070017383943123219
field_000003.vtk,0.010502607591468326
field_000004.vtk,0.01400347678862433
field_000005.vtk,0.017500289358668913
field_000006.vtk,0.021001158555824916
field_000007.vtk,0.02450202775298092
field_000008.vtk,0.028002896950136923
field_000009.vtk,0.03150376614729293
field_000010.vtk,0.035000578717337513
field_000011.vtk,0.038501447914493517
field_000012.vtk,0.04200231711164952
field_000013.vtk,0.045503186308805524
field_000014.vtk,0.049004055505961527
field_000015.vtk,0.05250086807600611
field_000016.vtk,0.056001737273162114
field_000017.vtk,0.059502606470318117
field_000018.vtk,0.063003475667474121
field_000019.vtk,0.066500288237518704
field_000020.vtk,0.070000000000000007
