time,pressure_jump_Pa,relative_jump_error,max_face_speed,gas_area_drift,divergence_linf,phi_min,phi_max
2.868468539230893e-6,58.32244118975807,0.0125423817666332,4.574116003164482e-5,0.0,2.611806682274384e-7,0.0,1.0
5.736937078461786e-6,58.322605372400936,0.012545232159738575,8.845880697635694e-5,1.724176508393976e-16,2.909745595407187e-7,0.0,1.000000000000014
8.605405617692679e-6,58.32266335836914,0.012546238860575463,0.00013052777971620772,1.724176508393976e-16,2.670588883507685e-7,0.0,1.0000000000000215
1.1473874156923573e-5,58.32268019354159,0.012546531137874987,0.0001721217386696863,0.0,2.7015162090693323e-7,0.0,1.0000000000000169
1.4342342696154466e-5,58.32268758477459,0.012546659457892314,0.00021332070267998857,1.724176508393976e-16,2.5271926218373153e-7,0.0,1.000000000000017
1.7210811235385358e-5,58.322692457015684,0.01254674404541128,0.00025416910751720645,1.724176508393976e-16,2.7703339913059954e-7,0.0,1.0000000000000184
2.007927977461625e-5,58.32269666568755,0.012546817112631208,0.0002946948163046309,0.0,2.5528016415338195e-7,0.0,1.000000000000022
2.2947748313847142e-5,58.32270089128617,0.01254689047371829,0.00033491688678925324,-1.724176508393976e-16,2.53225747794128e-7,0.0,1.000000000000026
2.5816216853078034e-5,58.32270536447482,0.01254696813324352,0.0003748492524490093,-1.724176508393976e-16,2.438680344885036e-7,0.0,1.00000000000003
2.8684685392308926e-5,58.32271018765579,0.012547051869024176,0.0004145026577421281,-1.724176508393976e-16,1.87410829036172e-7,0.0,1.000000000000034
3.155315393153982e-5,58.32271539693442,0.012547142307889338,0.0004538857579656863,-3.448353016787952e-16,1.834456953425656e-7,0.0,1.0000000000000346
3.442162247077071e-5,58.32272101705425,0.012547239879414147,0.0004930057832350642,-6.896706033575904e-16,1.962235374186605e-7,0.0,1.000000000000035
3.72900910100016e-5,58.32272705184988,0.01254734465017165,0.000531868957700212,-3.448353016787952e-16,2.0804848902683526e-7,0.0,1.0000000000000353
4.0158559549232494e-5,58.32273350172862,0.0125474566272331,0.00057048077490208,-8.62088254196988e-16,2.215328452764842e-7,0.0,1.000000000000036
4.3027028088463386e-5,58.32274036367081,0.012547575758173892,0.0006088461840177592,-8.62088254196988e-16,2.3128419075757467e-7,0.0,1.0000000000000406
4.589549662769428e-5,58.322747635982545,0.012547702013585942,0.0006469697191556419,-8.62088254196988e-16,1.9410408376441257e-7,0.0,1.0000000000000475
4.876396516692517e-5,58.32275530408808,0.012547835140418215,0.00068485559078281,-1.0345059050363857e-15,2.0440168820023974e-7,0.0,1.000000000000046
5.163243370615606e-5,58.32276337070378,0.012547975185829657,0.0007225077520405834,-1.3793412067151808e-15,2.1283241662117813e-7,0.0,1.0000000000000488
5.450090224538695e-5,58.32277182595999,0.012548121978472142,0.0007599299470286029,-1.5517588575545785e-15,2.212826983316596e-7,0.0,1.0000000000000517
5.7369370784617845e-5,58.3227806636198,0.012548275410066116,0.0007971257467248933,-1.5517588575545785e-15,2.3045013684830362e-7,0.0,1.0000000000000548
