file,time
field_000000.vtk,0.0
field_000001.vtk,0.0035282163032539973
field_000002.vtk,0.0070564326065080092
field_000003.vtk,0.010584648909761995
field_000004.vtk,0.014026811156839047
field_000005.vtk,0.017555027460093027
field_000006.vtk,0.021083243763347005
field_000007.vtk,0.024525406010424057
field_000008.vtk,0.028053622313678035
field_000009.vtk,0.031581838616932013
field_000010.vtk,0.035024000864009065
field_000011.vtk,0.038552217167263043
field_000012.vtk,0.042080433470517022
field_000013.vtk,0.045522595717594073
field_000014.vtk,0.049050812020848052
field_000015.vtk,0.05257902832410203
field_000016.vtk,0.056021190571179082
field_000017.vtk,0.05954940687443306
field_000018.vtk,0.063077623177687045
field_000019.vtk,0.066519785424764097
field_000020.vtk,0.070000000000000007
