time,pressure_jump_Pa,relative_jump_error,max_face_speed,gas_area_drift,divergence_linf,phi_min,phi_max
4.0566271114208695e-6,58.393660570056774,0.013778829341263536,3.258365019506608e-5,0.0,9.169750919343911e-8,2.5701663020072374e-14,1.0
8.113254222841739e-6,58.39357669318105,0.013777373145504498,6.300012403140955e-5,0.0,1.0319874564276854e-7,2.570168123450486e-14,1.0000000000000218
1.2169881334262608e-5,58.393625655440765,0.013778223184735601,9.30853799214334e-5,0.0,9.564878923618014e-8,2.570171645185212e-14,1.0000000000000464
1.6226508445683478e-5,58.393640530395174,0.013778481430471879,0.00012294937646472603,0.0,1.0261543467032785e-7,2.570176848690606e-14,1.0000000000000482
2.028313555710435e-5,58.393645547031056,0.013778568524844827,0.00015264328872015512,0.0,9.870106765577646e-8,2.5701837215929078e-14,1.0000000000000537
2.433976266852522e-5,58.3936477836303,0.013778607354692806,0.0001821954659545211,0.0,1.1453160988009192e-7,2.570192254371751e-14,1.0000000000000646
2.839638977994609e-5,58.39364786147706,0.01377860870619912,0.00021162338934128003,0.0,7.85030056368527e-8,2.570202439092529e-14,1.0000000000000657
3.2453016891366956e-5,58.39365072232512,0.013778658373700096,0.00024093864584589313,0.0,1.0679970303961728e-7,2.5702142687922776e-14,1.000000000000075
3.650964400278782e-5,58.39365068769037,0.013778657772402319,0.0002701493058877195,0.0,9.288631340476083e-8,2.5702277371565746e-14,1.0000000000000882
4.056627111420869e-5,58.3936506245462,0.013778656676149354,0.0002992612159422963,0.0,1.0993213134507379e-7,2.5702428383169888e-14,1.0000000000000902
4.462289822562956e-5,58.39365049671472,0.01377865445685288,0.0003282787359628779,0.0,9.788427775573802e-8,2.570259566730858e-14,1.000000000000116
4.8679525337050424e-5,58.39364731362968,0.013778599194959792,0.00035720519742838194,0.0,1.0482847020987229e-7,2.5702779170966232e-14,1.0000000000001208
5.273615244847129e-5,58.393647485220754,0.013778602173971522,0.00038604320400923374,0.0,1.9916177422523598e-7,2.570297884295176e-14,1.0000000000001268
5.679277955989216e-5,58.39365189237141,0.013778678687003727,0.0004147948254272556,0.0,1.0312414298885297e-7,2.570319463354847e-14,1.0000000000001228
