time,pressure_jump_Pa,relative_jump_error,max_face_speed,gas_area_drift,divergence_linf,phi_min,phi_max
8.113254222841739e-6,58.39366057037285,0.013778829346750999,6.516730065418827e-5,0.0,1.477701510430203e-7,2.5701663020072374e-14,1.0
1.6226508445683478e-5,58.393577289621746,0.01377738350037763,0.0001258174879992728,0.0,2.2060934019786822e-7,2.570173587776092e-14,1.0000000000000338
2.4339762668525215e-5,58.39362641405009,0.013778236355036378,0.0001856351347138001,1.7200352865980565e-16,1.8268159454604138e-7,2.5701876542614137e-14,1.000000000000033
3.2453016891366956e-5,58.39364124515669,0.01377849383952591,0.0002448453375873961,0.0,2.1636739258590332e-7,2.5702084082878106e-14,1.0000000000000322
4.05662711142087e-5,58.39364641908095,0.013778583664599955,0.0003035534599714848,0.0,1.9851121615954703e-7,2.570235781836295e-14,1.0000000000000342
4.867952533705044e-5,58.39364847785483,0.013778619407202044,0.00036181838805394924,-3.440070573196113e-16,1.7029519155942197e-7,2.5702697186149165e-14,1.0000000000000318
5.679277955989218e-5,58.39364935919331,0.013778634708217313,0.0004196769363513789,-5.16010585979417e-16,1.702793226698862e-7,2.5703101688683863e-14,1.0000000000000335
6.490603378273391e-5,58.39364976489636,0.013778641751673008,0.00047715397546943897,-5.16010585979417e-16,1.8600538973650993e-7,2.57035708691944e-14,1.000000000000036
7.301928800557565e-5,58.39364993167996,0.013778644647221623,0.0005342673005563131,-3.440070573196113e-16,2.1228938236212552e-7,2.570410429840443e-14,1.0000000000000373
8.113254222841738e-5,58.39364995747336,0.013778645095023667,0.0005910302337264031,-3.440070573196113e-16,2.41361601690214e-7,2.5704701566526315e-14,1.0000000000000404
8.924579645125911e-5,58.3936498968445,0.01377864404243935,0.0006474531260707335,-3.440070573196113e-16,1.2582322148069203e-7,2.5705362278306348e-14,1.0000000000000437
9.735905067410085e-5,58.3936497886183,0.013778642163512213,0.000703544278989988,0.0,1.3546871019398665e-7,2.5706086049787864e-14,1.0000000000000449
0.00010547230489694258,58.393649634876695,0.013778639494387169,0.0007593105363005456,0.0,1.4646744822544022e-7,2.570687250580195e-14,1.000000000000046
0.00011358555911978432,58.39364944739315,0.01377863623946454,0.0008147576786705463,0.0,1.545202682473601e-7,2.570772127856774e-14,1.0000000000000473
0.00012169881334262605,58.393649230285675,0.013778632470237511,0.0008698906947069437,0.0,1.607744921638954e-7,2.5708632006441635e-14,1.0000000000000486
0.0001298120675654678,58.39364898577035,0.01377862822517975,0.0009247139717644834,1.7200352865980565e-16,1.6520580420342768e-7,2.5709604333040846e-14,1.000000000000052
0.00013792532178830955,58.393648714885636,0.013778623522320167,0.0009792314330120866,1.7200352865980565e-16,1.6955611342739374e-7,2.5710637906580404e-14,1.0000000000000588
0.0001460385760111513,58.39364841797082,0.013778618367549112,0.0010334466375629678,3.440070573196113e-16,1.7357553516728075e-7,2.5711732379363492e-14,1.0000000000000662
0.00015415183023399304,58.39364809493716,0.013778612759325843,0.0010873628546505746,3.440070573196113e-16,1.7756674636215664e-7,2.5712887407383387e-14,1.0000000000000737
0.0001622650844568348,58.393647745432745,0.013778606691540803,0.001140983119213038,3.440070573196113e-16,1.8204923224462988e-7,2.5714102650035527e-14,1.0000000000000837
0.00017037833867967654,58.39364736406689,0.013778600070605768,0.00119431027397088,6.880141146392226e-16,2.4651846373697356e-7,2.5715377769814236e-14,1.0000000000000961
0.00017849159290251828,58.393646960041764,0.013778593056280722,0.0012473470013166072,8.600176432990283e-16,1.9356574977591468e-7,2.5716712432147254e-14,1.0000000000000988
0.00018660484712536003,58.393646532188505,0.01377858562827276,0.0013000958482187804,8.600176432990283e-16,2.0165886976952763e-7,2.5718106305084013e-14,1.000000000000093
0.00019471810134820178,58.3936460709006,0.013778577619802206,0.001352559244758099,1.032021171958834e-15,2.0890207998169874e-7,2.5719559059478876e-14,1.0000000000000873
