file,time
field_000000.vtk,0.0
field_000001.vtk,0.003504925824267615
field_000002.vtk,0.00700173839431255
field_000003.vtk,0.010506664218580061
field_000004.vtk,0.014003476788624644
field_000005.vtk,0.017500289358669228
field_000006.vtk,0.021005215182936653
field_000007.vtk,0.024502027752981236
field_000008.vtk,0.02800695357724866
field_000009.vtk,0.031503766147293243
field_000010.vtk,0.035000578717337825
field_000011.vtk,0.03850550454160525
field_000012.vtk,0.042002317111649833
field_000013.vtk,0.045507242935917257
field_000014.vtk,0.04900405550596184
field_000015.vtk,0.052500868076006423
field_000016.vtk,0.056005793900273847
field_000017.vtk,0.05950260647031843
field_000018.vtk,0.063007532294585861
field_000019.vtk,0.066504344864630444
field_000020.vtk,0.070000000000000007
