file,time
field_000000.vtk,0.0
field_000001.vtk,0.0041305946964924865
field_000002.vtk,0.0075727569435695601
field_000003.vtk,0.01101491919064663
field_000004.vtk,0.014457081437723699
field_000005.vtk,0.01789924368480077
field_000006.vtk,0.02134140593187784
field_000007.vtk,0.024783568178954909
field_000008.vtk,0.028225730426031978
field_000009.vtk,0.031667892673109051
field_000010.vtk,0.035110054920186137
field_000011.vtk,0.038552217167263224
field_000012.vtk,0.042682811863755728
field_000013.vtk,0.046124974110832814
field_000014.vtk,0.049567136357909901
field_000015.vtk,0.053009298604986987
field_000016.vtk,0.056451460852064074
field_000017.vtk,0.059893623099141161
field_000018.vtk,0.06333578534621824
field_000019.vtk,0.066777947593295292
field_000020.vtk,0.070000000000000007
