file,time
field_000000.vtk,0.0
field_000001.vtk,0.0036509644002787819
field_000002.vtk,0.0070585311738723166
field_000003.vtk,0.010709495574151094
field_000004.vtk,0.014117062347744617
field_000005.vtk,0.017524629121338141
field_000006.vtk,0.021175593521616916
field_000007.vtk,0.024583160295210439
field_000008.vtk,0.028234124695489214
field_000009.vtk,0.031641691469082737
field_000010.vtk,0.035049258242676261
field_000011.vtk,0.038700222642955036
field_000012.vtk,0.042107789416548559
field_000013.vtk,0.045515356190142083
field_000014.vtk,0.049166320590420858
field_000015.vtk,0.052573887364014381
field_000016.vtk,0.056224851764293156
field_000017.vtk,0.059632418537886679
field_000018.vtk,0.063039985311480209
field_000019.vtk,0.066690949711758984
field_000020.vtk,0.070000000000000007
